INFO 2024-06-15 12:11:31,005 autoreload Watching for file changes with StatReloader
DEBUG 2024-06-15 12:11:31,008 autoreload Waiting for apps ready_event.
DEBUG 2024-06-15 12:11:31,409 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-06-15 12:11:31,436 autoreload Watching dir C:\Users\DIVYANG\Collage\Django-Project\OCA\templates with glob **/*.
DEBUG 2024-06-15 12:11:31,437 autoreload Watching dir C:\Users\DIVYANG\Collage\Django-Project\OCA\locale with glob **/*.mo.
DEBUG 2024-06-15 12:11:31,438 autoreload Watching dir C:\Users\DIVYANG\Collage\Django-Project\OCA\chatting\locale with glob **/*.mo.
DEBUG 2024-06-15 12:11:31,521 utils (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2024-06-15 12:11:31,534 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-06-15 12:11:32,027 autoreload File C:\Users\DIVYANG\AppData\Local\Programs\Python\Python312\Lib\site-packages\requests\utils.py first seen with mtime 1711628549.5945754
DEBUG 2024-06-15 12:11:32,028 autoreload File C:\Users\DIVYANG\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\admin\widgets.py first seen with mtime 1707751160.286469
DEBUG 2024-06-15 12:11:32,028 autoreload File C:\Users\DIVYANG\AppData\Local\Programs\Python\Python312\Lib\importlib\__init__.py first seen with mtime 1701967814.0
DEBUG 2024-06-15 12:11:32,029 autoreload File C:\Users\DIVYANG\AppData\Roaming\Python\Python312\site-packages\sqlparse\lexer.py first seen with mtime 1702731213.695308
DEBUG 2024-06-15 12:11:32,030 autoreload File C:\Users\DIVYANG\AppData\Local\Programs\Python\Python312\Lib\sqlite3\__init__.py first seen with mtime 1701967814.0
DEBUG 2024-06-15 12:11:32,031 autoreload File C:\Users\DIVYANG\AppData\Local\Programs\Python\Python312\Lib\locale.py first seen with mtime 1701967814.0
DEBUG 2024-06-15 12:11:32,032 autoreload File C:\Users\DIVYANG\AppData\Local\Programs\Python\Python312\Lib\importlib\resources\_common.py first seen with mtime 1701967814.0
DEBUG 2024-06-15 12:11:32,033 autoreload File C:\Users\DIVYANG\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\models\utils.py first seen with mtime 1707751167.2082932
DEBUG 2024-06-15 12:11:32,034 autoreload File C:\Users\DIVYANG\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\auth\apps.py first seen with mtime 1707751162.1464155
DEBUG 2024-06-15 12:11:32,034 autoreload File C:\Users\DIVYANG\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\admin\models.py first seen with mtime 1707751160.2724984
DEBUG 2024-06-15 12:11:32,036 autoreload File C:\Users\DIVYANG\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\admin\templatetags\admin_urls.py first seen with mtime 1707751161.620665
DEBUG 2024-06-15 12:11:32,036 autoreload File C:\Users\DIVYANG\AppData\Local\Programs\Python\Python312\Lib\functools.py first seen with mtime 1701967814.0
DEBUG 2024-06-15 12:11:32,037 autoreload File C:\Users\DIVYANG\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\process.py first seen with mtime 1701967814.0
DEBUG 2024-06-15 12:11:32,038 autoreload File C:\Users\DIVYANG\AppData\Local\Programs\Python\Python312\Lib\asyncio\format_helpers.py first seen with mtime 1701967814.0
DEBUG 2024-06-15 12:11:32,038 autoreload File C:\Users\DIVYANG\AppData\Local\Programs\Python\Python312\Lib\site-packages\charset_normalizer\constant.py first seen with mtime 1711628548.8036072
DEBUG 2024-06-15 12:11:32,039 autoreload File C:\Users\DIVYANG\AppData\Roaming\Python\Python312\site-packages\sqlparse\sql.py first seen with mtime 1702731213.695308
DEBUG 2024-06-15 12:11:32,040 autoreload File C:\Users\DIVYANG\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\models\sql\where.py first seen with mtime 1707751167.2751107
DEBUG 2024-06-15 12:11:32,042 autoreload File C:\Users\DIVYANG\AppData\Local\Programs\Python\Python312\Lib\asyncio\windows_events.py first seen with mtime 1701967814.0
DEBUG 2024-06-15 12:11:32,043 autoreload File C:\Users\DIVYANG\AppData\Roaming\Python\Python312\site-packages\sqlparse\exceptions.py first seen with mtime 1702731213.695308
DEBUG 2024-06-15 12:11:32,043 autoreload File C:\Users\DIVYANG\AppData\Local\Programs\Python\Python312\Lib\logging\config.py first seen with mtime 1701967814.0
DEBUG 2024-06-15 12:11:32,045 autoreload File C:\Users\DIVYANG\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\backends\ddl_references.py first seen with mtime 1707751167.0441449
DEBUG 2024-06-15 12:11:32,046 autoreload File C:\Users\DIVYANG\AppData\Local\Programs\Python\Python312\Lib\collections\abc.py first seen with mtime 1701967814.0
DEBUG 2024-06-15 12:11:32,046 autoreload File C:\Users\DIVYANG\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\models\fields\mixins.py first seen with mtime 1707751167.234614
DEBUG 2024-06-15 12:11:32,048 autoreload File C:\Users\DIVYANG\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\termcolors.py first seen with mtime 1707751167.6602151
DEBUG 2024-06-15 12:11:32,049 autoreload File C:\Users\DIVYANG\AppData\Local\Programs\Python\Python312\Lib\site-packages\urllib3\fields.py first seen with mtime 1711628547.554371
DEBUG 2024-06-15 12:11:32,050 autoreload File C:\Users\DIVYANG\AppData\Local\Programs\Python\Python312\Lib\email\mime\multipart.py first seen with mtime 1701967814.0
DEBUG 2024-06-15 12:11:32,051 autoreload File C:\Users\DIVYANG\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\admin\utils.py first seen with mtime 1707751160.2842355
DEBUG 2024-06-15 12:11:32,051 autoreload File C:\Users\DIVYANG\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\template\loader.py first seen with mtime 1707751167.525448
DEBUG 2024-06-15 12:11:32,052 autoreload File C:\Users\DIVYANG\AppData\Roaming\Python\Python312\site-packages\sqlparse\filters\others.py first seen with mtime 1702731213.7265656
DEBUG 2024-06-15 12:11:32,053 autoreload File C:\Users\DIVYANG\AppData\Local\Programs\Python\Python312\Lib\encodings\idna.py first seen with mtime 1701967814.0
DEBUG 2024-06-15 12:11:32,054 autoreload File C:\Users\DIVYANG\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\regex_helper.py first seen with mtime 1707751167.656608
DEBUG 2024-06-15 12:11:32,055 autoreload File C:\Users\DIVYANG\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\models\signals.py first seen with mtime 1707751167.2082932
DEBUG 2024-06-15 12:11:32,055 autoreload File C:\Users\DIVYANG\AppData\Local\Programs\Python\Python312\Lib\site-packages\cffi\api.py first seen with mtime 1709459406.0078712
DEBUG 2024-06-15 12:11:32,056 autoreload File C:\Users\DIVYANG\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\version.py first seen with mtime 1707751167.669553
DEBUG 2024-06-15 12:11:32,059 autoreload File C:\Users\DIVYANG\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\servers\__init__.py first seen with mtime 1707751167.0331788
DEBUG 2024-06-15 12:11:32,060 autoreload File C:\Users\DIVYANG\AppData\Local\Programs\Python\Python312\Lib\site-packages\urllib3\_request_methods.py first seen with mtime 1711628547.5435264
DEBUG 2024-06-15 12:11:32,061 autoreload File C:\Users\DIVYANG\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\migrations\executor.py first seen with mtime 1707751167.1449883
DEBUG 2024-06-15 12:11:32,062 autoreload File C:\Users\DIVYANG\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\models\expressions.py first seen with mtime 1707751167.2012856
DEBUG 2024-06-15 12:11:32,063 autoreload File C:\Users\DIVYANG\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\middleware\cache.py first seen with mtime 1707751167.4944742
DEBUG 2024-06-15 12:11:32,064 autoreload File C:\Users\DIVYANG\AppData\Local\Programs\Python\Python312\Lib\re\_compiler.py first seen with mtime 1701967814.0
DEBUG 2024-06-15 12:11:32,065 autoreload File C:\Users\DIVYANG\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\sessions\apps.py first seen with mtime 1707751165.8158202
DEBUG 2024-06-15 12:11:32,065 autoreload File C:\Users\DIVYANG\AppData\Local\Programs\Python\Python312\Lib\site-packages\urllib3\util\response.py first seen with mtime 1711628547.600589
DEBUG 2024-06-15 12:11:32,066 autoreload File C:\Users\DIVYANG\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\contenttypes\views.py first seen with mtime 1707751162.7732651
